Review Text,Rating,Rating_Sentiment,preprocess_text,vader_scores,vader_polarity,vader_sentiment,neg,neu,pos,compound,roberta_polarity,roberta_sentiment
Absolutely wonderful - silky and sexy and comfortable,4,positive,absolutely wonderful silky and sexy and comfortable,"{'neg': 0.0, 'neu': 0.272, 'pos': 0.728, 'compound': 0.8932}",0.8932,Positive,0.0,0.272,0.728,0.8932,0.62184024,Positive
"Love this dress!  it's sooo pretty.  i happened to find it in a store, and i'm glad i did bc i never would have ordered it online bc it's petite.  i bought a petite and am 5'8"".  i love the length on me- hits just a little below the knee.  would definitely be a true midi on someone who is truly petite.",5,positive,love this dress its sooo pretty i happened to find it in a store and im glad i did bc i never would have ordered it online bc its petite i bought a petite and am i love the length on me hits just a little below the knee would definitely be a true midi on someone who is truly petite,"{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.9719}",0.9719,Positive,0.0,0.662,0.338,0.9719,0.32569072,Positive
"I had such high hopes for this dress and really wanted it to work for me. i initially ordered the petite small (my usual size) but i found this to be outrageously small. so small in fact that i could not zip it up! i reordered it in petite medium, which was just ok. overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several somewhat cheap (net) over layers. imo, a major design flaw was the net over layer sewn directly into the zipper - it c",3,neutral,i had such high hopes for this dress and really wanted it to work for me i initially ordered the petite small my usual size but i found this to be outrageously small so small in fact that i could not zip it up i reordered it in petite medium which was just ok overall the top half was comfortable and fit nicely but the bottom half had a very tight under layer and several somewhat cheap net over layers imo a major design flaw was the net over layer sewn directly into the zipper it c,"{'neg': 0.027, 'neu': 0.794, 'pos': 0.179, 'compound': 0.9398}",0.9398,Positive,0.027,0.794,0.179,0.9398,0.15084012,Neutral
"I love, love, love this jumpsuit. it's fun, flirty, and fabulous! every time i wear it, i get nothing but great compliments!",5,positive,i love love love this jumpsuit its fun flirty and fabulous every time i wear it i get nothing but great compliments,"{'neg': 0.231, 'neu': 0.346, 'pos': 0.423, 'compound': 0.4805}",0.4805,Positive,0.231,0.346,0.423,0.4805,0.18967499,Neutral
This shirt is very flattering to all due to the adjustable front tie. it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan. love this shirt!!!,5,positive,this shirt is very flattering to all due to the adjustable front tie it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan love this shirt,"{'neg': 0.0, 'neu': 0.713, 'pos': 0.287, 'compound': 0.9162}",0.9162,Positive,0.0,0.713,0.287,0.9162,0.2793713,Positive
"I love tracy reese dresses, but this one is not for the very petite. i am just under 5 feet tall and usually wear a 0p in this brand. this dress was very pretty out of the package but its a lot of dress. the skirt is long and very full so it overwhelmed my small frame. not a stranger to alterations, shortening and narrowing the skirt would take away from the embellishment of the garment. i love the color and the idea of the style but it just did not work on me. i returned this dress.",2,negative,i love tracy reese dresses but this one is not for the very petite i am just under feet tall and usually wear a p in this brand this dress was very pretty out of the package but its a lot of dress the skirt is long and very full so it overwhelmed my small frame not a stranger to alterations shortening and narrowing the skirt would take away from the embellishment of the garment i love the color and the idea of the style but it just did not work on me i returned this dress,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.9419}",0.9419,Positive,0.0,0.851,0.149,0.9419,0.14790706,Neutral
"I aded this in my basket at hte last mintue to see what it would look like in person. (store pick up). i went with teh darkler color only because i am so pale :-) hte color is really gorgeous, and turns out it mathced everythiing i was trying on with it prefectly. it is a little baggy on me and hte xs is hte msallet size (bummer, no petite). i decided to jkeep it though, because as i said, it matvehd everything. my ejans, pants, and the 3 skirts i waas trying on (of which i ]kept all ) oops.",5,positive,i aded this in my basket at hte last mintue to see what it would look like in person store pick up i went with teh darkler color only because i am so pale hte color is really gorgeous and turns out it mathced everythiing i was trying on with it prefectly it is a little baggy on me and hte xs is hte msallet size bummer no petite i decided to jkeep it though because as i said it matvehd everything my ejans pants and the skirts i waas trying on of which i kept all oops,"{'neg': 0.05, 'neu': 0.88, 'pos': 0.07, 'compound': 0.4576}",0.4576,Positive,0.05,0.88,0.07,0.4576,0.019997334,Neutral
"I ordered this in carbon for store pick up, and had a ton of stuff (as always) to try on and used this top to pair (skirts and pants). everything went with it. the color is really nice charcoal with shimmer, and went well with pencil skirts, flare pants, etc. my only compaint is it is a bit big, sleeves are long and it doesn't go in petite. also a bit loose for me, but no xxs... so i kept it and wil ldecide later since the light color is already sold out in hte smallest size...",4,positive,i ordered this in carbon for store pick up and had a ton of stuff as always to try on and used this top to pair skirts and pants everything went with it the color is really nice charcoal with shimmer and went well with pencil skirts flare pants etc my only compaint is it is a bit big sleeves are long and it doesnt go in petite also a bit loose for me but no xxs so i kept it and wil ldecide later since the light color is already sold out in hte smallest size,"{'neg': 0.046, 'neu': 0.901, 'pos': 0.053, 'compound': -0.0909}",-0.0909,Neutral,0.046,0.901,0.053,-0.0909,0.0069998847,Neutral
I love this dress. i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering and feminine with the usual retailer flair for style.,5,positive,i love this dress i usually get an xs but it runs a little snug in bust so i ordered up a size very flattering and feminine with the usual retailer flair for style,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.7175}",0.7175,Positive,0.0,0.818,0.182,0.7175,0.18001674,Neutral
"I'm 5""5' and 125 lbs. i ordered the s petite to make sure the length wasn't too long. i typically wear an xs regular in retailer dresses. if you're less busty (34b cup or smaller), a s petite will fit you perfectly (snug, but not tight). i love that i could dress it up for a party, or down for work. i love that the tulle is longer then the fabric underneath.",5,positive,im and lbs i ordered the s petite to make sure the length wasnt too long i typically wear an xs regular in retailer dresses if youre less busty b cup or smaller a s petite will fit you perfectly snug but not tight i love that i could dress it up for a party or down for work i love that the tulle is longer then the fabric underneath,"{'neg': 0.125, 'neu': 0.743, 'pos': 0.131, 'compound': -0.3724}",-0.3724,Negative,0.125,0.743,0.131,-0.3724,0.005999925,Neutral
Dress runs small esp where the zipper area runs. i ordered the sp which typically fits me and it was very tight! the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric. pretty disappointed as it was going to be my christmas dress this year! needless to say it will be going back.,3,neutral,dress runs small esp where the zipper area runs i ordered the sp which typically fits me and it was very tight the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric pretty disappointed as it was going to be my christmas dress this year needless to say it will be going back,"{'neg': 0.044, 'neu': 0.884, 'pos': 0.071, 'compound': 0.2263}",0.2263,Neutral,0.044,0.884,0.071,0.2263,0.026993444,Neutral
This dress is perfection! so pretty and flattering.,5,positive,this dress is perfection so pretty and flattering,"{'neg': 0.0, 'neu': 0.325, 'pos': 0.675, 'compound': 0.8855}",0.8855,Positive,0.0,0.325,0.675,0.8855,0.5882593,Positive
"More and more i find myself reliant on the reviews written by savvy shoppers before me and for the most past, they are right on in their estimation of the product. in the case of this dress-if it had not been for the reveiws-i doubt i would have even tried this. the dress is beautifully made, lined and reminiscent of the old retailer quality. it is lined in the solid periwinkle-colored fabric that matches the outer fabric print. tts and very form-fitting. falls just above the knee and does not rid",5,positive,more and more i find myself reliant on the reviews written by savvy shoppers before me and for the most past they are right on in their estimation of the product in the case of this dressif it had not been for the reveiwsi doubt i would have even tried this the dress is beautifully made lined and reminiscent of the old retailer quality it is lined in the solid periwinklecolored fabric that matches the outer fabric print tts and very formfitting falls just above the knee and does not rid,"{'neg': 0.026, 'neu': 0.899, 'pos': 0.075, 'compound': 0.552}",0.552,Positive,0.026,0.899,0.075,0.552,0.048960824,Neutral
"Bought the black xs to go under the larkspur midi dress because they didn't bother lining the skirt portion (grrrrrrrrrrr).
my stats are 34a-28/29-36 and the xs fit very smoothly around the chest and was flowy around my lower half, so i would say it's running big.
the straps are very pretty and it could easily be nightwear too.
i'm 5'6"" and it came to just below my knees.",5,positive,bought the black xs to go under the larkspur midi dress because they didnt bother lining the skirt portion grrrrrrrrrrr my stats are a and the xs fit very smoothly around the chest and was flowy around my lower half so i would say its running big the straps are very pretty and it could easily be nightwear too im and it came to just below my knees,"{'neg': 0.03, 'neu': 0.828, 'pos': 0.142, 'compound': 0.8036}",0.8036,Positive,0.03,0.828,0.142,0.8036,0.11153403,Neutral
This is a nice choice for holiday gatherings. i like that the length grazes the knee so it is conservative enough for office related gatherings. the size small fit me well - i am usually a size 2/4 with a small bust. in my opinion it runs small and those with larger busts will definitely have to size up (but then perhaps the waist will be too big). the problem with this dress is the quality. the fabrics are terrible. the delicate netting type fabric on the top layer of skirt got stuck in the zip,3,neutral,this is a nice choice for holiday gatherings i like that the length grazes the knee so it is conservative enough for office related gatherings the size small fit me well i am usually a size with a small bust in my opinion it runs small and those with larger busts will definitely have to size up but then perhaps the waist will be too big the problem with this dress is the quality the fabrics are terrible the delicate netting type fabric on the top layer of skirt got stuck in the zip,"{'neg': 0.1, 'neu': 0.762, 'pos': 0.138, 'compound': -0.2617}",-0.2617,Negative,0.1,0.762,0.138,-0.2617,0.037981715,Neutral
"I took these out of the package and wanted them to fit so badly, but i could tell before i put them on that they wouldn't. these are for an hour-glass figure. i am more straight up and down. the waist was way too small for my body shape and even if i sized up, i could tell they would still be tight in the waist and too roomy in the hips - for me. that said, they are really nice. sturdy, linen-like fabric, pretty color, well made. i hope they make someone very happy!",4,positive,i took these out of the package and wanted them to fit so badly but i could tell before i put them on that they wouldnt these are for an hourglass figure i am more straight up and down the waist was way too small for my body shape and even if i sized up i could tell they would still be tight in the waist and too roomy in the hips for me that said they are really nice sturdy linenlike fabric pretty color well made i hope they make someone very happy,"{'neg': 0.023, 'neu': 0.742, 'pos': 0.235, 'compound': 0.9735}",0.9735,Positive,0.023,0.742,0.235,0.9735,0.20888004,Neutral
"Material and color is nice.  the leg opening is very large.  i am 5'1 (100#) and the length hits me right above my ankle.  with a leg opening the size of my waist and hem line above my ankle, and front pleats to make me fluffy, i think you can imagine that it is not a flattering look.  if you are at least average height or taller, this may look good on you.",3,neutral,material and color is nice the leg opening is very large i am and the length hits me right above my ankle with a leg opening the size of my waist and hem line above my ankle and front pleats to make me fluffy i think you can imagine that it is not a flattering look if you are at least average height or taller this may look good on you,"{'neg': 0.027, 'neu': 0.893, 'pos': 0.08, 'compound': 0.5773}",0.5773,Positive,0.027,0.893,0.08,0.5773,0.052950427,Neutral
Took a chance on this blouse and so glad i did. i wasn't crazy about how the blouse is photographed on the model. i paired it whit white pants and it worked perfectly. crisp and clean is how i would describe it. launders well. fits great. drape is perfect. wear tucked in or out - can't go wrong.,5,positive,took a chance on this blouse and so glad i did i wasnt crazy about how the blouse is photographed on the model i paired it whit white pants and it worked perfectly crisp and clean is how i would describe it launders well fits great drape is perfect wear tucked in or out cant go wrong,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.9782}",0.9782,Positive,0.0,0.612,0.388,0.9782,0.36963478,Positive
"A flattering, super cozy coat.  will work well for cold, dry days and will look good with jeans or a dressier outfit.  i am 5' 5'', about 135 and the small fits great.",5,positive,a flattering super cozy coat will work well for cold dry days and will look good with jeans or a dressier outfit i am about and the small fits great,"{'neg': 0.0, 'neu': 0.59, 'pos': 0.41, 'compound': 0.936}",0.936,Positive,0.0,0.59,0.41,0.936,0.38847268,Positive
"I love the look and feel of this tulle dress. i was looking for something different, but not over the top for new year's eve. i'm small chested and the top of this dress is form fitting for a flattering look. once i steamed the tulle, it was perfect! i ordered an xsp. length was perfect too.",5,positive,i love the look and feel of this tulle dress i was looking for something different but not over the top for new years eve im small chested and the top of this dress is form fitting for a flattering look once i steamed the tulle it was perfect i ordered an xsp length was perfect too,"{'neg': 0.058, 'neu': 0.703, 'pos': 0.239, 'compound': 0.9309}",0.9309,Positive,0.058,0.703,0.239,0.9309,0.17904897,Neutral
"If this product was in petite, i would get the petite. the regular is a little long on me but a tailor can do a simple fix on that. 

fits nicely! i'm 5'4, 130lb and pregnant so i bough t medium to grow into. 

the tie can be front or back so provides for some nice flexibility on form fitting.",4,positive,if this product was in petite i would get the petite the regular is a little long on me but a tailor can do a simple fix on that fits nicely im lb and pregnant so i bough t medium to grow into the tie can be front or back so provides for some nice flexibility on form fitting,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.8922}",0.8922,Positive,0.0,0.824,0.176,0.8922,0.17420498,Neutral
"I'm upset because for the price of the dress, i thought it was embroidered! no, that is a print on the fabric. i think i cried a little when i opened the box. it is still ver pretty. i would say it is true to size, it is a tad bit big on me, but i am very tiny, but i can still get away with it. the color is vibrant. the style is unique. skirt portion is pretty poofy. i keep going back and forth on it mainly because of the price, although the quality is definitely there. except i wish it were emb",4,positive,im upset because for the price of the dress i thought it was embroidered no that is a print on the fabric i think i cried a little when i opened the box it is still ver pretty i would say it is true to size it is a tad bit big on me but i am very tiny but i can still get away with it the color is vibrant the style is unique skirt portion is pretty poofy i keep going back and forth on it mainly because of the price although the quality is definitely there except i wish it were emb,"{'neg': 0.048, 'neu': 0.769, 'pos': 0.183, 'compound': 0.9501}",0.9501,Positive,0.048,0.769,0.183,0.9501,0.1341858,Neutral
"First of all, this is not pullover styling. there is a side zipper. i wouldn't have purchased it if i knew there was a side zipper because i have a large bust and side zippers are next to impossible for me.

second of all, the tulle feels and looks cheap and the slip has an awkward tight shape underneath.

not at all what is looks like or is described as. sadly will be returning, but i'm sure i will find something to exchange it for!",2,negative,first of all this is not pullover styling there is a side zipper i wouldnt have purchased it if i knew there was a side zipper because i have a large bust and side zippers are next to impossible for me second of all the tulle feels and looks cheap and the slip has an awkward tight shape underneath not at all what is looks like or is described as sadly will be returning but im sure i will find something to exchange it for,"{'neg': 0.039, 'neu': 0.904, 'pos': 0.057, 'compound': 0.3612}",0.3612,Positive,0.039,0.904,0.057,0.3612,0.017998055,Neutral
"Cute little dress fits tts. it is a little high waisted. good length for my 5'9 height. i like the dress, i'm just not in love with it. i dont think it looks or feels cheap. it appears just as pictured.",3,neutral,cute little dress fits tts it is a little high waisted good length for my height i like the dress im just not in love with it i dont think it looks or feels cheap it appears just as pictured,"{'neg': 0.076, 'neu': 0.742, 'pos': 0.183, 'compound': 0.5815}",0.5815,Positive,0.076,0.742,0.183,0.5815,0.10659351,Neutral
"I love this shirt because when i first saw it, i wasn't sure if it was a shirt or dress. since it is see-through if you wear it like a dress you will need a slip or wear it with leggings. i bought a slip, wore the tie in the back, and rocked it with white wedges. you could also wear it as a vest. be careful with the buttons. i haven't had any fall off yet, but i feel like they will. overall it's great for any occasion and it's fun to wear!",5,positive,i love this shirt because when i first saw it i wasnt sure if it was a shirt or dress since it is seethrough if you wear it like a dress you will need a slip or wear it with leggings i bought a slip wore the tie in the back and rocked it with white wedges you could also wear it as a vest be careful with the buttons i havent had any fall off yet but i feel like they will overall its great for any occasion and its fun to wear,"{'neg': 0.015, 'neu': 0.788, 'pos': 0.197, 'compound': 0.9553}",0.9553,Positive,0.015,0.788,0.197,0.9553,0.18001674,Neutral
"Loved the material, but i didnt really look at how long the dress was before i purchased both a large and a medium. im 5'5"" and there was atleast 5"" of material at my feet. the gaps in the front are much wider than they look. felt like the dress just fell flat. both were returned. im usually a large and the med fit better. 36d 30 in jeans",3,neutral,loved the material but i didnt really look at how long the dress was before i purchased both a large and a medium im and there was atleast of material at my feet the gaps in the front are much wider than they look felt like the dress just fell flat both were returned im usually a large and the med fit better d in jeans,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.9153}",0.9153,Positive,0.0,0.814,0.186,0.9153,0.18388432,Neutral
I have been waiting for this sweater coat to ship for weeks and i was so excited for it to arrive. this coat is not true to size and made me look short and squat. the sleeves are very wide (although long). as a light weight fall coat the sleeves don't need to be as wide because you wouldn't be layerng too much underneath. the buttons need to be moved at least three inches in for a nicer fit. i thought about redoing the buttons myself but the sleeves looked even more out of proportion with a tigh,2,negative,i have been waiting for this sweater coat to ship for weeks and i was so excited for it to arrive this coat is not true to size and made me look short and squat the sleeves are very wide although long as a light weight fall coat the sleeves dont need to be as wide because you wouldnt be layerng too much underneath the buttons need to be moved at least three inches in for a nicer fit i thought about redoing the buttons myself but the sleeves looked even more out of proportion with a tigh,"{'neg': 0.017, 'neu': 0.922, 'pos': 0.06, 'compound': 0.4753}",0.4753,Positive,0.017,0.922,0.06,0.4753,0.042973515,Neutral
"The colors weren't what i expected either. the dark blue is much more vibrant and i just couldn't find anything to really go with it. fabric is thick and good quality. has nice weight and movement to it. the skirt just wasn't for me, in the end.",4,positive,the colors werent what i expected either the dark blue is much more vibrant and i just couldnt find anything to really go with it fabric is thick and good quality has nice weight and movement to it the skirt just wasnt for me in the end,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.8553}",0.8553,Positive,0.0,0.817,0.183,0.8553,0.18098417,Neutral
I have several of goodhyouman shirts and i get so many compliments on them. especially the one that says forehead kisses are underrated. don't hesitate. buy this shirt. you won't be sorry.....,5,positive,i have several of goodhyouman shirts and i get so many compliments on them especially the one that says forehead kisses are underrated dont hesitate buy this shirt you wont be sorry,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.8082}",0.8082,Positive,0.0,0.736,0.264,0.8082,0.25803304,Positive
"This sweater is so comfy and classic - it balances a quirky hand-knit look with a beautiful color and practical fit. it is a bit cropped and boxy as part of the style, and as others mentioned, there are gaps in the knit that make it see-through. in my opinion this makes it perfect for layering! i like having a longer camisole showing underneath, or wearing it over a little dress. it's warm but still thin enough to fit under a jacket or coat.",5,positive,this sweater is so comfy and classic it balances a quirky handknit look with a beautiful color and practical fit it is a bit cropped and boxy as part of the style and as others mentioned there are gaps in the knit that make it seethrough in my opinion this makes it perfect for layering i like having a longer camisole showing underneath or wearing it over a little dress its warm but still thin enough to fit under a jacket or coat,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.8711}",0.8711,Positive,0.0,0.845,0.155,0.8711,0.15377052,Neutral
Beautifully made pants and on trend with the flared crop. so much cuter in person. love these!,5,positive,beautifully made pants and on trend with the flared crop so much cuter in person love these,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.9096}",0.9096,Positive,0.0,0.549,0.451,0.9096,0.42272067,Positive
"I never would have given these pants a second look online, in person they are much cuter! the stripes are brighter and the fit more flattering. the crop has a cute flare which is right on trend. this brand has always run small for me, i am 5'8 about 140lbs and carry some chubbiness in the belly. i paired it with a collarless loose navy blazer",5,positive,i never would have given these pants a second look online in person they are much cuter the stripes are brighter and the fit more flattering the crop has a cute flare which is right on trend this brand has always run small for me i am about lbs and carry some chubbiness in the belly i paired it with a collarless loose navy blazer,"{'neg': 0.033, 'neu': 0.765, 'pos': 0.202, 'compound': 0.8932}",0.8932,Positive,0.033,0.765,0.202,0.8932,0.16740924,Neutral
These pants are even better in person. the only downside is that they need to be dry cleaned.,5,positive,these pants are even better in person the only downside is that they need to be dry cleaned,"{'neg': 0.096, 'neu': 0.766, 'pos': 0.139, 'compound': 0.2263}",0.2263,Neutral,0.096,0.766,0.139,0.2263,0.042973515,Neutral
"I ordered this 3 months ago, and it finally came off back order. a huge disappointment. the fit wasn&#39;t so much the issue for me. the quality of the wool is subpar. someone else mentioned a &quot;felted wool&quot;...i guess, is that what you call it?  it does literally feel like felt! super thin, itchy, doesn&#39;t drape very well, and feels cheap (made in china). i got it on sale, but still not worth what i paid. definitely going back.",2,negative,i ordered this months ago and it finally came off back order a huge disappointment the fit wasnt so much the issue for me the quality of the wool is subpar someone else mentioned a quotfelted woolquoti guess is that what you call it it does literally feel like felt super thin itchy doesnt drape very well and feels cheap made in china i got it on sale but still not worth what i paid definitely going back,"{'neg': 0.088, 'neu': 0.777, 'pos': 0.135, 'compound': 0.6041}",0.6041,Positive,0.088,0.777,0.135,0.6041,0.046965428,Neutral
"This is such a neat dress. the color is great and the fabric is super soft. i am tall so the long length was an added bonus. it definitely needs something underneath since the front gaps. i am going to pair it with a funky tank top, necklaces and boots. super cute!!",5,positive,this is such a neat dress the color is great and the fabric is super soft i am tall so the long length was an added bonus it definitely needs something underneath since the front gaps i am going to pair it with a funky tank top necklaces and boots super cute,"{'neg': 0.021, 'neu': 0.588, 'pos': 0.391, 'compound': 0.9764}",0.9764,Positive,0.021,0.588,0.391,0.9764,0.35399172,Positive
"Wouldn't have given them a second look but tried them on in store of a whim. love, love!!",4,positive,wouldnt have given them a second look but tried them on in store of a whim love love,"{'neg': 0.0, 'neu': 0.547, 'pos': 0.453, 'compound': 0.9274}",0.9274,Positive,0.0,0.547,0.453,0.9274,0.42436188,Positive
"This is a comfortable skirt that can span seasons easily. while not the most exciting design, it is a good work skirt that can be paired with many tops.",4,positive,this is a comfortable skirt that can span seasons easily while not the most exciting design it is a good work skirt that can be paired with many tops,"{'neg': 0.077, 'neu': 0.599, 'pos': 0.324, 'compound': 0.8424}",0.8424,Positive,0.077,0.599,0.324,0.8424,0.24209656,Neutral
"Just ordered this in a small for me (5'6"", 135, size 4) and medium for my mom (5'3"", 130, size 8) and it is gorgeous - beautifully draped, all the weight/warmth i'll need for houston fall and winter, looks polished snapped or unsnapped. age-appropriate for both my mom (60's) and myself (30's). will look amazing with skinny jeans or leggings. we ordered the gray which is true to the photos.",5,positive,just ordered this in a small for me size and medium for my mom size and it is gorgeous beautifully draped all the weightwarmth ill need for houston fall and winter looks polished snapped or unsnapped ageappropriate for both my mom s and myself s will look amazing with skinny jeans or leggings we ordered the gray which is true to the photos,"{'neg': 0.039, 'neu': 0.763, 'pos': 0.198, 'compound': 0.91}",0.91,Positive,0.039,0.763,0.198,0.91,0.15767351,Neutral
Super cute and comfy pull over. sizing is accurate. material has a little bit of stretch.,5,positive,super cute and comfy pull over sizing is accurate material has a little bit of stretch,"{'neg': 0.0, 'neu': 0.653, 'pos': 0.347, 'compound': 0.7845}",0.7845,Positive,0.0,0.653,0.347,0.7845,0.3337123,Positive
Great casual top with flare. looks cute with grey pilcro stet jeans. flattering with peplum in back. nice cut for shoulders and neckline.,5,positive,great casual top with flare looks cute with grey pilcro stet jeans flattering with peplum in back nice cut for shoulders and neckline,"{'neg': 0.062, 'neu': 0.44, 'pos': 0.499, 'compound': 0.9169}",0.9169,Positive,0.062,0.44,0.499,0.9169,0.41115466,Positive
"Pretty and unique. great with jeans or i have worn it to work with slacks and heels. the colors, print, and embroidery are lovely. reasonably priced!",4,positive,pretty and unique great with jeans or i have worn it to work with slacks and heels the colors print and embroidery are lovely reasonably priced,"{'neg': 0.064, 'neu': 0.612, 'pos': 0.324, 'compound': 0.872}",0.872,Positive,0.064,0.612,0.324,0.872,0.25429553,Positive
"This is a beautiful top. it's unique and not so ordinary. i bought my usual medium and i found that it fits tight across my chest. although i had a baby this year and i am nursing, so that could be why. if i bought again i would size up.",5,positive,this is a beautiful top its unique and not so ordinary i bought my usual medium and i found that it fits tight across my chest although i had a baby this year and i am nursing so that could be why if i bought again i would size up,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.6908}",0.6908,Positive,0.0,0.875,0.125,0.6908,0.124353,Neutral
"This poncho is so cute i love the plaid check design, the colors look like sorbet & cream and it will pair well with a turtleneck and jeans or pencil skirt and heels. i love this look for fall and it can roll right into spring. great buy!!",5,positive,this poncho is so cute i love the plaid check design the colors look like sorbet cream and it will pair well with a turtleneck and jeans or pencil skirt and heels i love this look for fall and it can roll right into spring great buy,"{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.9703}",0.9703,Positive,0.0,0.638,0.362,0.9703,0.34697446,Positive
"First, this is thermal ,so naturally i didn't expect super sheer, but it is. really sheer light fabric. i like it, but be prepared for considering who you might run into if you walk around the house in it. second, it is large. i ordered the size 0 and it's a nice oversized fit for my 5'3"" 125 pounds. i wouldn't want to go larger. along with being sheer, the fabric is easily stretched, which i don't mind in this case. finally, the color. it looks white on my monitor and shows a colorful blue dot",4,positive,first this is thermal so naturally i didnt expect super sheer but it is really sheer light fabric i like it but be prepared for considering who you might run into if you walk around the house in it second it is large i ordered the size and its a nice oversized fit for my pounds i wouldnt want to go larger along with being sheer the fabric is easily stretched which i dont mind in this case finally the color it looks white on my monitor and shows a colorful blue dot,"{'neg': 0.035, 'neu': 0.806, 'pos': 0.16, 'compound': 0.9223}",0.9223,Positive,0.035,0.806,0.16,0.9223,0.124353,Neutral
"Tried this on today at my local retailer and had to have it. it is so comfortable and flattering. it's too bad the picture online has the model tucking it into the skirt because you can't see the ruching across the front. a little dressier alternative to a plain tee and reasonably priced for retailer. 5'8"""" and i generally wear a 6, the small fit well. will probably be back for the black!",5,positive,tried this on today at my local retailer and had to have it it is so comfortable and flattering its too bad the picture online has the model tucking it into the skirt because you cant see the ruching across the front a little dressier alternative to a plain tee and reasonably priced for retailer and i generally wear a the small fit well will probably be back for the black,"{'neg': 0.046, 'neu': 0.806, 'pos': 0.148, 'compound': 0.7848}",0.7848,Positive,0.046,0.806,0.148,0.7848,0.10164773,Neutral
I bought this item from online... the fit on the model looked a little loose but when i got mine it seemed a bit tight! so i took it back to the store & ordered a larger size. for the sale price this is a great top.,4,positive,i bought this item from online the fit on the model looked a little loose but when i got mine it seemed a bit tight so i took it back to the store ordered a larger size for the sale price this is a great top,"{'neg': 0.033, 'neu': 0.759, 'pos': 0.208, 'compound': 0.8441}",0.8441,Positive,0.033,0.759,0.208,0.8441,0.17323516,Neutral
I love this top. i wear it all the time.  the problem is that you can tell i wear it all the time as the fabric has started to fade.  i'd still recommend it as it is so comfortable.,5,positive,i love this top i wear it all the time the problem is that you can tell i wear it all the time as the fabric has started to fade id still recommend it as it is so comfortable,"{'neg': 0.058, 'neu': 0.668, 'pos': 0.274, 'compound': 0.8762}",0.8762,Positive,0.058,0.668,0.274,0.8762,0.21270229,Neutral
"Very comfortable, material is good, cut out on sleeves flattering",5,positive,very comfortable material is good cut out on sleeves flattering,"{'neg': 0.124, 'neu': 0.355, 'pos': 0.521, 'compound': 0.7713}",0.7713,Positive,0.124,0.355,0.521,0.7713,0.37737915,Positive
"This sweater is perfect for fall...it's roomy, warm, super comfy and the color really pops.",5,positive,this sweater is perfect for fallits roomy warm super comfy and the color really pops,"{'neg': 0.0, 'neu': 0.558, 'pos': 0.442, 'compound': 0.8591}",0.8591,Positive,0.0,0.558,0.442,0.8591,0.41530088,Positive
"Really cute top! the embroidery on the collar & bib of this top is beautiful and unique, received lots of compliments & questions about where i got it. i'm rather busty up top and the medium fit well, a small probably would've fit better but it's still super adorable.",5,positive,really cute top the embroidery on the collar bib of this top is beautiful and unique received lots of compliments questions about where i got it im rather busty up top and the medium fit well a small probably wouldve fit better but its still super adorable,"{'neg': 0.0, 'neu': 0.544, 'pos': 0.456, 'compound': 0.9709}",0.9709,Positive,0.0,0.544,0.456,0.9709,0.4268185,Positive
